id,avg readme length,# readme links,% not acc. Links,readme ds reference,# licences,# os licenses,avg CCR,avg pylint score,# rdm seed lines,% fixed rdm seed,MS used?,# HP-logging indicators,% pub avail. Libs,# config files,% strict decl. In conf,% decl. In conf of used in sc,# DSFC in sc,OOTB
1,90.0,1,100.0,0,1,1,1.07,0.0,3,100.0,No,0,100.0,1,25.0,80.0,0,Not tested
2,0,0,0,0,0,0,0.77,-7.0,0,0,No,0,100.0,0,0,0.0,0,Not tested
3,2.0,0,0,0,0,0,5.86,5.49,1,0.0,No,0,100.0,0,0,0.0,0,Not tested
4,2.0,1,0.0,0,1,1,2.82,3.67,0,0,Yes,0,100.0,0,0,0.0,0,Not tested
5,7.0,2,0.0,0,1,1,4.41,4.84,0,0,No,0,100.0,0,0,0.0,0,Not tested
6,4.0,1,0.0,1,0,0,6.02,4.58,0,0,No,0,100.0,0,0,0.0,0,Not tested
7,32.0,1,0.0,1,1,1,4.25,0.99,2,50.0,Yes,0,100.0,0,0,0.0,0,Not tested
8,0,0,0,0,1,1,27.5,3.18,4,100.0,Yes,0,83.33,0,0,0.0,0,Not tested
9,2.0,0,0,0,0,0,5.61,1.5,8,100.0,No,0,100.0,0,0,0.0,0,Not tested
10,11.0,0,0,0,0,0,7.84,0.0,0,0,No,0,100.0,0,0,0.0,0,Not tested
11,9.0,1,0.0,0,1,1,1.5,3.75,1,100.0,No,0,100.0,0,0,0.0,0,Not tested
12,2.0,0,0,0,0,0,18.8,5.86,0,0,No,0,100.0,0,0,0.0,0,Not tested
13,4.0,1,0.0,0,0,0,6.08,-1.14,0,0,No,0,100.0,1,93.75,66.67,0,Not tested
14,0,0,0,0,0,0,4.77,0.03,1,100.0,No,0,70.0,0,0,0.0,0,Not tested
15,21.0,3,0.0,1,0,0,3.86,-1.49,3,33.33,No,0,100.0,0,0,0.0,0,Not tested
16,18.0,0,0,0,1,1,11.71,6.22,12,83.33,No,0,91.67,1,100.0,75.0,0,Not tested
17,6.0,1,0.0,0,1,1,25.56,7.34,13,76.92,No,0,88.89,1,100.0,77.78,0,Not tested
18,3.0,0,0,0,0,0,16.18,-2.74,10,100.0,Yes,0,92.86,0,0,0.0,0,Not tested
19,18.0,2,0.0,1,0,0,4.33,4.66,4,75.0,No,0,60.0,0,0,0.0,0,Not tested
20,0,0,0,0,0,0,22.6,5.35,0,0,No,0,100.0,0,0,0.0,0,Not tested
